date,open,high,low,close,volume
2016-12-22,563.0,566.2,559.1,560.2,25057712
2016-12-23,563.0,588.9,552.55,582.75,161659625
2016-12-26,584.9,585.0,548.3,553.95,123392565
2016-12-27,553.95,565.65,553.95,562.9,50291117
2016-12-28,566.15,572.35,561.15,562.65,31873677
2016-12-29,564.15,567.7,562.35,564.3,30110647
2016-12-30,573.0,573.1,565.75,568.2,46475379
2017-01-02,569.1,572.4,563.35,565.9,30062301
2017-01-03,567.0,576.7,562.65,574.15,121979065
2017-01-04,573.95,576.0,566.0,568.1,46293928
2017-01-05,575.0,581.0,569.55,579.65,44496436
2017-01-06,580.45,585.45,577.55,582.15,37004348
2017-01-09,582.95,588.45,575.5,576.8,49143126
2017-01-10,577.0,582.55,574.05,575.65,33936985
2017-01-11,576.05,579.4,570.0,577.85,40853045
2017-01-12,575.0,588.45,568.5,586.15,55728431
2017-01-13,588.25,589.0,579.8,584.4,22268157
2017-01-16,578.75,590.9,578.75,587.3,36313601
2017-01-17,590.0,591.5,581.35,586.5,34493463
2017-01-18,588.0,595.0,579.5,581.6,60040279
2017-01-19,581.75,587.55,574.15,579.75,31903483
2017-01-20,580.25,592.5,574.45,575.85,72104802
2017-01-23,574.9,582.5,573.8,576.85,44779395
2017-01-24,576.0,581.3,574.5,579.8,14565945
2017-01-25,582.9,587.45,578.0,584.7,17253972
2017-01-27,587.0,590.0,579.55,580.25,26227375
2017-01-30,579.8,583.5,577.8,580.95,34578725
2017-01-31,582.0,582.0,571.5,574.25,15282663
2017-02-01,574.8,578.7,566.55,573.25,24004033
2017-02-02,581.5,585.75,567.9,583.95,72500711
2017-02-03,586.0,611.35,580.55,608.35,191699018
2017-02-06,610.0,621.9,598.35,601.45,172389152
2017-02-07,600.9,607.45,594.5,597.3,66327740
2017-02-08,599.0,607.7,598.5,602.95,102822137
2017-02-09,610.0,613.0,584.85,587.0,224209815
2017-02-10,590.0,594.0,577.4,579.35,77975647
2017-02-13,579.35,585.6,575.7,581.3,66017512
2017-02-14,582.0,586.3,574.85,576.75,28885323
2017-02-15,577.05,578.0,571.15,573.35,29602853
2017-02-16,576.95,585.0,574.75,583.4,39385216
2017-02-17,585.0,596.25,581.7,592.6,103668940
2017-02-20,595.0,597.45,582.8,593.9,48913068
2017-02-21,595.0,595.0,588.75,592.6,24857508
2017-02-22,592.6,592.65,585.0,587.85,30727676
2017-02-23,590.0,595.0,586.0,591.6,21955685
2017-02-27,592.0,595.35,581.8,585.45,47985072
2017-02-28,592.0,592.2,581.25,583.2,34674247
2017-03-01,586.7,592.7,585.0,587.35,26586903
2017-03-02,592.5,592.5,586.05,587.1,29429562
2017-03-03,586.05,596.0,585.0,587.55,46052860
2017-03-06,590.5,594.7,587.0,589.25,40590636
2017-03-07,589.0,592.0,586.0,587.6,32942795
2017-03-08,588.65,593.0,583.9,589.95,63748552
2017-03-09,590.0,593.0,575.0,589.6,63431184
2017-03-10,587.0,591.5,585.2,587.9,48964203
2017-03-14,590.0,601.0,589.85,598.55,112191444
2017-03-15,601.0,605.0,597.7,598.75,80307536
2017-03-16,607.85,607.85,598.2,600.0,86129175
2017-03-17,605.0,605.0,594.0,596.05,38639098
2017-03-20,597.0,601.3,594.15,596.55,28918670
2017-03-21,597.0,597.75,590.1,591.45,36637718
2017-03-22,591.5,597.7,587.95,594.5,447518661
2017-03-23,595.0,598.6,583.65,596.55,56608938
2017-03-24,592.65,597.75,591.5,593.25,126053540
2017-03-27,594.0,595.0,590.1,592.0,506592190
2017-03-28,592.55,595.5,591.3,593.95,18502015
2017-03-29,594.0,597.3,591.05,592.4,28359050
2017-03-30,593.0,599.5,592.0,597.65,63195926
2017-03-31,597.6,597.6,589.65,592.3,68722861
2017-04-03,595.0,595.0,590.5,591.75,44422575
2017-04-05,598.0,600.55,590.55,592.65,105087342
2017-04-06,600.0,600.0,587.1,588.9,38273240
2017-04-07,590.0,593.25,585.1,588.75,49092393
2017-04-10,590.0,594.0,587.1,588.55,1085880064
2017-04-11,588.65,591.75,575.25,578.8,1146429998
2017-04-12,578.85,581.0,571.0,577.85,58668088
2017-04-13,583.0,583.0,574.5,576.25,66780506
2017-04-17,580.0,580.0,573.0,576.3,15234152
2017-04-18,576.3,577.5,573.3,574.7,33122311
2017-04-19,574.7,577.0,572.5,574.95,53226716
2017-04-20,576.25,577.0,573.25,573.95,27809966
2017-04-21,574.0,574.0,562.2,563.4,31804350
2017-04-24,563.75,563.8,554.6,556.1,385607016
2017-04-25,557.0,560.95,550.0,552.85,28599217
2017-04-26,548.0,561.4,545.75,555.1,66755794
2017-04-27,559.0,563.2,555.2,560.9,42152097
2017-04-28,561.0,561.0,555.9,556.8,51333821
2017-05-02,556.8,558.75,552.5,554.5,212890852
2017-05-03,555.0,558.0,552.0,554.3,229247524
2017-05-04,556.05,556.05,547.65,549.65,33817485
2017-05-05,550.0,552.85,543.4,548.6,197342663
2017-05-08,550.0,554.0,546.1,550.65,49084467
2017-05-09,555.0,555.0,545.1,551.55,29346237
2017-05-10,558.0,561.7,551.5,559.75,463147149
2017-05-11,564.8,564.9,559.1,561.0,21372564
2017-05-12,561.0,570.0,557.0,566.6,92586361
2017-05-15,567.05,571.65,561.05,566.25,25468223
2017-05-16,567.05,569.5,563.25,564.4,26521158
2017-05-17,565.5,565.75,559.0,559.1,157501131
2017-05-18,559.0,564.75,556.95,558.65,182477492
2017-05-19,560.2,565.3,558.4,563.45,27104202
2017-05-22,565.0,567.3,551.9,560.55,21599267
2017-05-23,561.0,561.0,531.0,533.15,77033272
2017-05-24,533.25,536.3,515.25,520.35,62244841
2017-05-25,525.0,527.0,497.4,504.1,133075099
2017-05-26,480.0,504.15,479.0,491.6,734283058
2017-05-29,492.0,506.0,488.0,504.15,109816431
2017-05-30,505.0,517.5,503.0,511.1,57709020
2017-05-31,514.9,519.0,506.0,514.6,119236529
2017-06-01,515.0,530.0,513.7,515.1,54696058
2017-06-02,520.0,532.7,519.0,528.65,75363174
2017-06-05,528.0,536.7,527.95,533.9,47178278
2017-06-06,534.0,538.2,523.0,533.6,32016941
2017-06-07,536.0,542.95,530.9,539.4,42701627
2017-06-08,539.95,555.0,537.65,548.95,93788493
2017-06-09,550.0,555.05,545.25,550.0,39891287
2017-06-12,553.0,554.85,545.1,552.25,26760867
2017-06-13,553.0,554.45,549.2,550.55,32220129
2017-06-14,550.05,553.5,537.0,539.75,58587019
2017-06-15,545.0,551.45,537.0,549.15,38740739
2017-06-16,549.95,551.45,534.15,537.05,38287515
2017-06-19,541.8,541.8,524.8,539.15,129916468
2017-06-20,541.8,549.0,536.0,546.2,56246506
2017-06-21,547.85,547.85,536.05,540.85,29168667
2017-06-22,541.0,545.55,537.55,538.9,44379176
2017-06-23,540.0,543.75,537.7,540.85,24550259
2017-06-27,544.0,551.05,533.3,534.35,43665974
2017-06-28,533.0,538.45,531.9,537.05,15195977
2017-06-29,539.45,545.45,534.75,544.75,705335116
2017-06-30,544.0,558.0,542.25,554.35,47735567
2017-07-03,560.0,570.0,547.9,551.05,44968779
2017-07-04,555.0,580.8,543.25,545.95,115080206
2017-07-05,545.95,547.7,542.2,545.7,45338479
2017-07-06,542.3,547.75,540.3,542.85,105446184
2017-07-07,542.0,552.0,542.0,546.05,351280703
2017-07-10,547.15,552.45,546.5,549.45,178762527
2017-07-11,549.0,552.2,536.1,538.15,83131787
2017-07-12,539.2,543.15,537.45,539.2,36165270
2017-07-13,540.0,544.2,538.9,542.15,28399045
2017-07-14,543.0,550.75,541.75,547.35,60457354
2017-07-17,548.0,558.0,546.95,555.9,44133341
2017-07-18,556.0,566.85,555.0,559.4,107545309
2017-07-19,560.0,569.25,560.0,568.15,27586828
2017-07-20,568.5,576.85,563.3,571.6,46238608
2017-07-21,572.05,572.05,560.15,566.1,26719165
2017-07-24,569.0,575.0,560.9,569.55,38707001
2017-07-25,568.55,571.0,562.15,564.5,21077738
2017-07-26,566.8,577.05,562.65,574.8,57801861
2017-07-27,576.0,578.95,566.1,570.45,57802798
2017-07-28,570.45,571.2,557.15,565.3,34797198
2017-07-31,568.6,568.6,557.0,558.65,24094706
2017-08-01,560.75,564.9,558.7,561.95,27189789
2017-08-02,562.0,569.0,560.05,565.8,16120232
2017-08-03,569.0,575.0,554.0,556.9,51362815
2017-08-04,553.0,569.9,543.2,567.05,51370773
2017-08-07,570.0,580.0,562.5,565.15,32160706
2017-08-08,563.0,580.0,563.0,578.25,65693035
2017-08-09,579.0,579.9,558.0,561.9,62414076
2017-08-10,561.9,569.5,541.85,548.9,57520878
2017-08-11,540.0,563.15,526.3,542.7,168568788
2017-08-14,552.0,575.4,552.0,570.0,203872957
2017-08-16,570.0,594.05,562.0,590.2,110925251
2017-08-17,590.2,592.4,571.1,573.35,65164119
2017-08-18,574.65,575.6,561.0,565.7,54019513
2017-08-21,565.7,569.9,555.7,560.75,64164040
2017-08-22,564.95,567.0,558.0,559.15,42184520
2017-08-23,560.0,564.8,557.5,559.6,24832685
2017-08-24,563.95,575.65,558.0,573.4,110472103
2017-08-28,574.0,580.65,570.55,572.75,25138496
2017-08-29,577.0,577.0,565.2,567.95,26811241
2017-08-30,570.8,575.75,565.5,566.85,13580184
2017-08-31,566.5,578.8,563.4,571.7,23538033
2017-09-01,575.0,578.0,566.0,568.6,32316935
2017-09-04,570.5,577.2,558.1,561.95,55617811
2017-09-05,563.0,565.45,557.65,559.85,27412653
2017-09-06,560.0,560.65,554.6,556.65,61275660
2017-09-07,556.65,560.55,551.05,553.25,36254292
2017-09-08,555.6,558.25,548.0,550.65,37702478
2017-09-11,558.0,558.0,550.05,551.85,30444282
2017-09-12,555.0,561.75,543.9,559.4,70880594
2017-09-13,560.0,562.5,552.9,554.3,63506647
2017-09-14,558.6,566.7,555.0,564.8,62614453
2017-09-15,560.0,565.35,556.5,560.5,28174418
2017-09-18,562.0,572.35,560.85,570.05,55169158
2017-09-19,570.0,574.85,564.55,573.5,32131112
2017-09-20,574.5,574.5,565.25,568.5,36655563
2017-09-21,571.9,592.95,571.15,591.45,163883957
2017-09-22,594.0,598.8,581.0,583.8,99793944
2017-09-25,590.0,594.4,566.15,576.9,73555566
2017-09-26,580.25,581.45,570.75,578.15,35698589
2017-09-27,579.0,585.0,564.0,569.8,25204488
2017-09-28,567.0,585.0,564.0,581.5,39337441
2017-09-29,588.0,591.4,577.3,584.95,86124040
2017-10-03,586.0,591.0,576.9,580.4,71726186
2017-10-04,579.75,587.25,579.75,581.65,41243619
2017-10-05,586.0,589.8,582.05,584.95,47313598
2017-10-06,584.95,588.85,582.95,585.0,18284945
2017-10-09,585.0,594.5,582.1,585.45,45591057
2017-10-10,590.0,592.9,585.55,589.3,36645607
2017-10-11,590.5,593.2,580.0,584.95,32385265
2017-10-12,589.05,592.5,580.5,590.05,26273502
2017-10-13,590.05,597.0,588.3,592.1,30541246
2017-10-16,593.0,608.0,593.0,606.45,117684133
2017-10-17,606.75,633.95,602.4,631.25,110803617
2017-10-18,631.5,631.5,609.1,610.7,62411694
2017-10-19,614.9,615.5,605.1,608.2,12069819
2017-10-23,608.2,619.8,590.5,593.7,69490792
2017-10-24,596.0,600.3,592.5,595.25,35235559
2017-10-25,599.95,603.75,590.35,593.55,23585451
2017-10-26,590.0,616.0,590.0,612.4,69288751
2017-10-27,624.0,629.0,616.3,623.3,173058416
2017-10-30,623.5,630.45,616.2,626.65,98395875
2017-10-31,625.0,633.8,621.0,625.7,45775340
2017-11-01,629.95,633.25,621.55,624.0,107099157
2017-11-02,626.0,642.0,626.0,633.55,147238971
2017-11-03,622.6,648.0,622.6,639.6,67683274
2017-11-06,639.75,660.8,638.15,655.4,97709337
2017-11-07,663.0,663.0,601.4,608.35,440512235
2017-11-08,623.7,636.5,616.55,620.95,162976606
2017-11-09,627.0,627.75,612.2,614.2,50451179
2017-11-10,614.3,626.0,604.25,609.05,36924367
2017-11-13,609.5,610.25,595.45,602.15,213130723
2017-11-14,603.0,612.95,599.9,602.1,45363289
2017-11-15,603.8,607.5,589.85,593.6,166030873
2017-11-16,606.95,607.0,590.1,593.0,55083241
2017-11-17,605.0,614.5,601.2,608.65,62887497
2017-11-20,603.0,606.8,596.5,602.6,131504278
2017-11-21,607.0,623.75,607.0,616.5,144771171
2017-11-22,619.95,626.0,613.95,618.85,100209055
2017-11-23,619.0,624.5,615.1,617.3,27191081
2017-11-24,618.05,623.6,612.9,614.45,238336616
2017-11-27,618.0,621.9,611.0,615.0,43309942
2017-11-28,617.75,622.0,608.3,610.5,116969273
2017-11-29,614.8,617.95,606.0,608.5,26954858
2017-11-30,609.4,609.4,597.2,600.35,43968209
2017-12-01,601.0,608.0,595.0,597.25,31063154
2017-12-04,596.5,603.35,590.0,595.25,21353840
2017-12-05,596.0,599.0,592.1,596.45,19935442
2017-12-06,597.75,603.45,594.0,595.5,22124307
2017-12-07,597.65,600.0,589.45,592.5,21644438
2017-12-08,599.5,608.0,592.5,603.6,30269106
2017-12-11,606.0,612.0,598.9,603.85,28986615
2017-12-12,600.0,611.0,589.4,590.75,24757042
2017-12-13,591.6,595.95,577.0,578.15,53108869
2017-12-14,580.0,593.95,575.35,590.8,40610422
2017-12-15,592.55,599.75,573.35,575.9,67093030
2017-12-18,588.95,594.0,572.3,590.35,65726664
2017-12-19,591.0,603.9,591.0,602.2,49488171
2017-12-20,602.3,611.15,597.0,598.9,91922875
2017-12-21,598.0,607.45,595.4,598.45,103888351
2017-12-22,600.0,603.95,595.1,599.5,72825168
2017-12-26,599.5,614.9,597.5,610.95,68306748
2017-12-27,612.0,623.8,609.3,612.3,92925123
2017-12-28,612.3,616.5,602.5,605.05,31973127
2017-12-29,605.0,611.5,604.65,607.15,23288475
2018-01-01,606.0,617.5,606.0,611.75,45549601
2018-01-02,616.9,619.3,605.35,606.85,57927297
2018-01-03,610.0,613.2,605.15,607.05,41077046
2018-01-04,607.1,616.55,603.2,614.9,58148520
2018-01-05,618.45,621.25,611.05,613.0,53748708
2018-01-08,615.0,626.7,611.05,613.45,66981682
2018-01-09,616.0,619.0,609.95,613.25,30006811
2018-01-10,614.4,622.8,612.55,618.1,33768407
2018-01-11,616.8,616.8,610.2,612.65,14526522
2018-01-12,613.0,617.3,603.0,610.5,17640402
2018-01-15,613.0,614.85,607.4,608.65,15506515
2018-01-16,610.3,612.5,599.25,601.2,22278052
2018-01-17,608.0,610.5,597.75,606.2,35824759
2018-01-18,608.0,618.0,597.35,603.2,28106928
2018-01-19,604.95,605.0,600.0,602.05,28381129
2018-01-22,604.3,605.0,593.0,601.1,38783458
2018-01-23,598.3,625.0,598.3,622.6,159573090
2018-01-24,622.6,622.8,612.65,617.65,37190378
2018-01-25,619.8,630.6,613.4,621.3,361001873
2018-01-29,625.0,628.25,597.55,612.55,59862144
2018-01-30,612.0,613.8,604.0,606.55,23746483
2018-01-31,606.55,608.75,587.1,587.45,971652822
2018-02-01,588.25,596.65,581.0,586.75,36365833
2018-02-02,582.8,593.5,575.5,579.1,92480989
2018-02-05,579.95,582.8,572.0,580.1,19911924
2018-02-06,570.0,575.0,559.0,565.65,365192321
2018-02-07,582.75,582.75,554.6,569.15,135736945
2018-02-08,580.0,618.0,580.0,613.7,312980399
2018-02-09,597.0,627.45,595.0,621.9,209989175
2018-02-12,627.0,634.0,618.75,621.2,57740876
2018-02-14,625.0,630.0,612.0,616.95,62540636
2018-02-15,606.05,621.1,603.6,606.85,40248213
2018-02-16,612.8,613.5,605.35,609.95,42834994
2018-02-19,610.0,613.0,595.1,599.95,30227659
2018-02-20,600.0,604.95,592.0,601.9,392168172
2018-02-21,605.0,607.3,589.95,596.85,134924108
2018-02-22,596.85,596.85,587.0,589.85,171588264
2018-02-23,586.15,604.6,586.15,595.15,67425862
2018-02-26,598.2,598.45,589.6,591.05,27074997
2018-02-27,591.05,598.9,583.15,586.15,113857651
2018-02-28,590.3,596.9,587.6,589.35,82330974
2018-03-01,592.0,592.45,580.5,581.9,27884573
2018-03-05,581.0,584.5,578.0,579.4,28594481
2018-03-06,582.8,588.1,580.55,582.75,56656747
2018-03-07,586.0,588.4,578.1,580.05,62113607
2018-03-08,582.9,582.9,573.8,576.7,22646226
2018-03-09,576.0,585.85,568.2,573.35,229652225
2018-03-12,575.55,594.9,564.35,579.4,33140047
2018-03-13,579.5,582.5,574.0,578.45,17581909
2018-03-14,579.25,583.45,573.0,577.7,24273955
2018-03-15,580.7,580.7,570.0,571.25,60562635
2018-03-16,570.0,574.0,556.6,559.0,32645700
2018-03-19,565.0,565.45,554.0,559.35,148407013
2018-03-20,551.2,559.5,523.0,552.5,405934639
2018-03-21,561.0,567.45,546.1,549.45,202575643
2018-03-22,549.5,555.0,538.1,540.55,41927418
2018-03-23,540.0,540.25,533.1,537.3,24057101
2018-03-26,539.0,543.8,533.55,540.75,209798700
2018-03-27,550.7,550.7,541.8,543.0,205313319
2018-03-28,542.55,547.75,534.5,543.25,28775678
2018-04-02,545.0,580.0,545.0,576.4,58757973
2018-04-03,575.5,578.2,569.0,570.5,145847436
2018-04-04,573.0,574.95,564.6,569.6,475853130
2018-04-05,572.0,578.0,559.0,561.1,41907384
2018-04-06,561.1,570.15,557.7,559.1,48492015
2018-04-09,575.0,575.0,555.2,556.95,18310287
2018-04-10,556.05,566.05,556.05,557.85,17997610
2018-04-11,556.05,563.85,556.05,560.65,28659698
2018-04-12,557.05,563.0,554.0,555.25,26043266
2018-04-13,556.0,561.0,552.75,554.6,18452079
2018-04-16,550.15,586.0,550.15,583.55,300836559
2018-04-17,585.0,586.85,576.3,579.9,41917348
2018-04-18,583.0,596.6,581.7,583.85,106602695
2018-04-19,587.55,591.2,583.05,584.2,28195190
2018-04-20,582.75,594.0,582.75,587.85,49798025
2018-04-23,572.15,601.8,572.15,599.35,109416798
2018-04-24,601.9,604.7,594.65,600.0,201954363
2018-04-25,598.4,598.4,587.0,594.2,21600411
2018-04-26,591.35,602.15,591.15,599.85,22769929
2018-04-27,603.7,607.0,593.0,599.85,46668167
2018-04-30,597.0,608.4,597.0,606.65,16960159
2018-05-02,609.0,621.65,607.7,610.35,50256309
2018-05-03,613.0,613.0,597.45,608.05,32807514
2018-05-04,611.0,611.4,595.6,596.95,41220014
2018-05-07,591.0,617.6,584.85,591.05,278073180
2018-05-08,593.0,601.75,587.0,590.8,46267999
2018-05-09,592.0,597.95,586.0,589.2,23403364
2018-05-10,593.15,595.35,572.75,575.65,57391590
2018-05-11,575.8,580.15,565.55,573.65,39761192
2018-05-14,575.8,579.55,571.2,577.05,21555669
2018-05-15,577.8,583.95,572.45,574.9,237889648
2018-05-16,575.0,575.0,546.0,559.85,108918564
2018-05-17,558.75,558.75,539.9,553.05,93195378
2018-05-18,553.1,557.4,531.0,533.95,63400233
2018-05-21,529.15,537.0,516.95,519.8,47588835
2018-05-22,521.15,531.0,508.1,524.35,96068327
2018-05-23,524.0,562.5,519.75,532.75,218955021
2018-05-24,536.0,543.55,529.55,532.1,40790121
2018-05-25,533.0,539.2,528.2,535.85,21492966
2018-05-28,536.5,547.95,535.0,540.35,46422338
2018-05-29,541.5,542.55,527.95,530.75,29262802
2018-05-30,531.9,531.9,520.5,525.3,638149575
2018-05-31,528.8,533.5,521.05,524.5,121816606
2018-06-01,531.95,531.95,521.2,523.35,43228151
2018-06-04,529.5,529.5,517.8,519.85,33765213
2018-06-05,525.0,542.75,518.0,540.5,1608118238
2018-06-06,542.0,547.0,533.9,537.35,58767104
2018-06-07,540.0,542.45,537.05,540.25,23697560
2018-06-08,540.1,561.5,539.5,558.25,112958305
2018-06-11,559.0,569.9,558.1,559.75,47912280
2018-06-12,567.0,572.95,564.05,567.05,266254169
2018-06-13,573.7,592.5,570.0,581.4,139326862
2018-06-14,590.5,592.15,583.35,587.95,101624149
2018-06-15,592.5,614.95,590.15,612.0,188638905
2018-06-18,614.0,619.0,600.6,606.0,84483560
2018-06-19,608.8,609.95,598.25,602.25,60293475
2018-06-20,610.5,622.0,599.95,603.55,240799487
