===============================================================================
Id,EUR_USD,len,datetime,open,high,low,close,volume,openinterest,GBP_USD,len,datetime,open,high,low,close,volume,openinterest,St,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,EUR_USD,GBP_USD
61,EUR_USD,61,2019-03-26 21:00:00,1.1244,1.12856,1.1265,1.12423,,-1.0,GBP_USD,61,2019-03-26 21:00:00,1.31926,1.32692,1.32037,1.31667,,-1.0,St,61,737144.875,Broker,61,1247.8099999999997,123.5799999999997,BuySell,61,,,BuySell,61,,,DataTrades,61,,
62,EUR_USD,62,2019-03-27 21:00:00,1.1224,1.12612,1.12452,1.12137,,-1.0,GBP_USD,62,2019-03-27 21:00:00,1.30424,1.32141,1.31916,1.30352,,-1.0,St,62,737145.875,Broker,62,1247.8099999999997,126.43999999999983,BuySell,62,,,BuySell,62,,,DataTrades,62,,
63,EUR_USD,63,2019-03-28 21:00:00,1.12178,1.12466,1.12217,1.121,,-1.0,GBP_USD,63,2019-03-28 21:00:00,1.30326,1.3136,1.30508,1.29778,,-1.0,St,63,737146.875,Broker,63,2551.0699999999997,132.28999999999996,BuySell,63,,,BuySell,63,,1.333304,DataTrades,63,,
64,EUR_USD,64,2019-03-31 21:00:00,1.12128,1.12498,1.12296,1.12041,,-1.0,GBP_USD,64,2019-03-31 21:00:00,1.31041,1.31496,1.30419,1.301,,-1.0,St,64,737149.875,Broker,64,2551.0699999999997,129.65999999999985,BuySell,64,,,BuySell,64,,,DataTrades,64,,
65,EUR_USD,65,2019-04-01 21:00:00,1.12044,1.12161,1.12125,1.11839,,-1.0,GBP_USD,65,2019-04-01 21:00:00,1.31329,1.315,1.30974,1.3014,,-1.0,St,65,737150.875,Broker,65,2551.0699999999997,131.27999999999975,BuySell,65,,,BuySell,65,,,DataTrades,65,,
66,EUR_USD,66,2019-04-02 21:00:00,1.1233,1.12546,1.12042,1.1201,,-1.0,GBP_USD,66,2019-04-02 21:00:00,1.31571,1.3196,1.31339,1.3121,,-1.0,St,66,737151.875,Broker,66,2551.0699999999997,118.86999999999944,BuySell,66,,,BuySell,66,,,DataTrades,66,,
67,EUR_USD,67,2019-04-03 21:00:00,1.12206,1.12478,1.1233,1.12061,,-1.0,GBP_USD,67,2019-04-03 21:00:00,1.30751,1.3191,1.31585,1.30603,,-1.0,St,67,737152.875,Broker,67,1243.56,122.94999999999982,BuySell,67,,,BuySell,67,1.29611225,,DataTrades,67,,-4.249999999999865
68,EUR_USD,68,2019-04-04 21:00:00,1.12162,1.12464,1.12197,1.12103,,-1.0,GBP_USD,68,2019-04-04 21:00:00,1.30364,1.31224,1.30786,1.29874,,-1.0,St,68,737153.875,Broker,68,2547.2,127.42999999999984,BuySell,68,,,BuySell,68,,1.3319235999999999,DataTrades,68,,
69,EUR_USD,69,2019-04-07 21:00:00,1.12611,1.12746,1.12176,1.12144,,-1.0,GBP_USD,69,2019-04-07 21:00:00,1.30624,1.30742,1.30398,1.30301,,-1.0,St,69,737156.875,Broker,69,2547.2,122.75,BuySell,69,,,BuySell,69,,,DataTrades,69,,
70,EUR_USD,70,2019-04-08 21:00:00,1.12627,1.12842,1.12629,1.12553,,-1.0,GBP_USD,70,2019-04-08 21:00:00,1.30515,1.31216,1.30585,1.30308,,-1.0,St,70,737157.875,Broker,70,2547.2,118.59000000000015,BuySell,70,,,BuySell,70,,,DataTrades,70,,
