date,close,high,low,n,open,t,volume,vw,symbol,instrument_type
1/9/2020,77.4075,77.6075,76.55,328749,76.8088,1.58E+12,170486168,77.161,AAPL,Equity
1/10/2020,77.5825,78.1675,77.0625,294841,77.65,1.58E+12,140869088,77.6729,AAPL,Equity
1/13/2020,79.24,79.2675,77.7875,254950,77.91,1.58E+12,122086888,78.4206,AAPL,Equity
1/14/2020,78.17,79.3925,78.0425,342959,79.175,1.58E+12,162613828,78.6921,AAPL,Equity
1/15/2020,77.835,78.875,77.3875,264903,77.9625,1.58E+12,121923528,78.2459,AAPL,Equity
1/16/2020,78.81,78.925,78.0225,207421,78.3975,1.58E+12,107069016,78.5424,AAPL,Equity
1/17/2020,79.6825,79.685,78.75,238615,79.0675,1.58E+12,137816468,79.2386,AAPL,Equity
1/21/2020,79.1425,79.755,79,208931,79.2975,1.58E+12,110643256,79.3365,AAPL,Equity
1/22/2020,79.425,79.9975,79.3275,208306,79.645,1.58E+12,101832460,79.6217,AAPL,Equity
1/23/2020,79.8075,79.89,78.9125,197084,79.48,1.58E+12,104471972,79.5524,AAPL,Equity
1/24/2020,79.5775,80.8325,79.3797,296490,80.0625,1.58E+12,146537520,80.1019,AAPL,Equity
1/27/2020,77.2375,77.9425,76.22,380394,77.515,1.58E+12,161908020,77.4235,AAPL,Equity
1/28/2020,79.4225,79.6,78.0475,353618,78.15,1.58E+12,162233944,79.2654,AAPL,Equity
1/29/2020,81.085,81.9625,80.345,464161,81.1125,1.58E+12,216599620,81.365,AAPL,Equity
1/30/2020,80.9675,81.0225,79.6875,280545,80.1359,1.58E+12,126551232,80.4192,AAPL,Equity
1/31/2020,77.3775,80.67,77.0725,484153,80.2325,1.58E+12,199588384,78.5039,AAPL,Equity
2/3/2020,77.165,78.3725,75.555,405189,76.075,1.58E+12,173985604,77.2738,AAPL,Equity
2/4/2020,79.7125,79.91,78.4086,288064,78.8275,1.58E+12,136616536,79.3666,AAPL,Equity
2/5/2020,80.3625,81.19,79.7375,269725,80.88,1.58E+12,118746872,80.3725,AAPL,Equity
2/6/2020,81.3025,81.305,80.0662,215446,80.6425,1.58E+12,105392140,80.8276,AAPL,Equity
2/7/2020,80.0075,80.85,79.5,261918,80.5925,1.58E+12,117684048,80.2554,AAPL,Equity
2/10/2020,80.3875,80.3875,78.4625,234127,78.545,1.58E+12,109346860,79.7929,AAPL,Equity
2/11/2020,79.9025,80.975,79.6775,230343,80.9,1.58E+12,94323120,80.3471,AAPL,Equity
2/12/2020,81.8,81.805,80.3675,244871,80.3675,1.58E+12,113730292,81.1997,AAPL,Equity
2/13/2020,81.2175,81.555,80.8375,216964,81.0475,1.58E+12,94451512,81.2497,AAPL,Equity
2/14/2020,81.2375,81.495,80.7125,176169,81.185,1.58E+12,80113788,81.1569,AAPL,Equity
2/18/2020,79.75,79.9375,78.6525,365776,78.84,1.58E+12,152762180,79.3387,AAPL,Equity
2/19/2020,80.905,81.1425,80,205432,80,1.58E+12,93983964,80.7971,AAPL,Equity
2/20/2020,80.075,81.1625,79.5525,243574,80.6575,1.58E+12,100565956,80.2818,AAPL,Equity
2/21/2020,78.2625,80.1125,77.625,323163,79.655,1.58E+12,129705660,78.6341,AAPL,Equity
2/24/2020,74.545,76.045,72.3075,586879,74.315,1.58E+12,222149312,74.8699,AAPL,Equity
2/25/2020,72.02,75.6325,71.5325,624788,75.2375,1.58E+12,230623456,73.3055,AAPL,Equity
2/26/2020,73.1625,74.47,71.625,494238,71.6325,1.58E+12,198153724,73.2211,AAPL,Equity
2/27/2020,68.38,71.5,68.24,811075,70.275,1.58E+12,318605524,69.9545,AAPL,Equity
2/28/2020,68.34,69.6025,64.0925,1118286,64.315,1.58E+12,426884920,66.7569,AAPL,Equity
3/2/2020,74.7025,75.36,69.43,850990,70.57,1.58E+12,341329356,72.1688,AAPL,Equity
3/3/2020,72.33,76,71.45,841732,75.9175,1.58E+12,319474208,73.6107,AAPL,Equity
3/4/2020,75.685,75.85,73.2825,506987,74.11,1.58E+12,219178272,74.5584,AAPL,Equity
3/5/2020,73.23,74.8875,72.8525,433274,73.88,1.58E+12,187572876,73.8242,AAPL,Equity
3/6/2020,72.2575,72.705,70.3075,551657,70.5,1.58E+12,226176984,71.4465,AAPL,Equity
3/9/2020,66.5425,69.5225,65.75,733182,65.9375,1.58E+12,286744832,67.8998,AAPL,Equity
3/10/2020,71.335,71.61,67.3425,696310,69.285,1.58E+12,285290080,69.4642,AAPL,Equity
3/11/2020,68.8575,70.305,67.965,587138,69.3475,1.58E+12,256379880,69.1036,AAPL,Equity
3/12/2020,62.0575,67.5,62,1085533,63.985,1.58E+12,418474068,63.8272,AAPL,Equity
3/13/2020,69.4925,69.98,63.2375,938015,66.2225,1.58E+12,368732128,65.7384,AAPL,Equity
